=== Run information ===

Evaluator:    weka.attributeSelection.GainRatioAttributeEval 
Search:       weka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1
Relation:     comment-total
Instances:    4000
Attributes:   2002
              [list of attributes omitted]
Evaluation mode:    evaluate on all training data



=== Attribute Selection on all input data ===

Search Method:
	Attribute ranking.

Attribute Evaluator (supervised, Class (nominal): 2002 class):
	Gain Ratio feature evaluator

Ranked attributes:
 0.10073      234 tfidf(/_moscow_ru)
 0.10073      381 tfidf(54)
 0.10073      513 tfidf(aire)
 0.10073      376 tfidf(50_))
 0.10073       35 tfidf((_35_))
 0.10073      214 tfidf(/_1990_/)
 0.10073      387 tfidf(61)
 0.10073      856 tfidf(del)
 0.10073      213 tfidf(/_1990)
 0.10073       41 tfidf((_38_))
 0.10073       40 tfidf((_38)
 0.10073      205 tfidf(/_0)
 0.10073       21 tfidf((_25_))
 0.10073       20 tfidf((_25)
 0.10073      717 tfidf(buenos)
 0.10073      118 tfidf(_comma__h)
 0.10073     1277 tfidf(n_()
 0.10073      460 tfidf(a_nice)
 0.10073      718 tfidf(buenos_aire)
 0.10073     1176 tfidf(last_move)
 0.10073     1396 tfidf(palma)
 0.10073     1226 tfidf(material_advantage)
 0.09994      106 tfidf(_comma__d)
 0.09934      277 tfidf(1991)
 0.09934      491 tfidf(adam__comma_)
 0.09934     1809 tfidf(to_go)
 0.09934     1186 tfidf(leon)
 0.09934      607 tfidf(be_meet)
 0.09934     1371 tfidf(opponent)
 0.09934      216 tfidf(/_1992_/)
 0.09934     1029 tfidf(ha_an)
 0.09934     1398 tfidf(palma_de_mallorca)
 0.09934      237 tfidf(/_palma)
 0.09934     1297 tfidf(not_a)
 0.09934      368 tfidf(44)
 0.09934      194 tfidf(._it_wa)
 0.09934      905 tfidf(eliminate)
 0.09934     1748 tfidf(the_time)
 0.09934      272 tfidf(1988_/)
 0.09934     1239 tfidf(miss_the)
 0.09934      141 tfidf(_comma__n_/)
 0.09934      839 tfidf(de_mallorca)
 0.09934     1278 tfidf(n_/)
 0.09934      347 tfidf(32_))
 0.09934      911 tfidf(enemy)
 0.09934      238 tfidf(/_palma_de)
 0.09934     1678 tfidf(the_decisive)
 0.09934      386 tfidf(60)
 0.09934       57 tfidf((_50_))
 0.09934       56 tfidf((_50)
 0.09934      385 tfidf(59_))
 0.09934      239 tfidf(/_saint)
 0.09934      384 tfidf(59)
 0.09934      383 tfidf(58)
 0.09934      316 tfidf(2004_()
 0.09805      232 tfidf(/_moscow)
 0.0979      1864 tfidf(v_/)
 0.0979       162 tfidf(_comma__v_/)
 0.09784     1688 tfidf(the_fact)
 0.09784     1679 tfidf(the_decisive_mistake)
 0.09784      268 tfidf(1972)
 0.09784     1156 tfidf(key)
 0.09784      224 tfidf(/_buenos_aire)
 0.09784     1253 tfidf(morozevich__comma_)
 0.09784      223 tfidf(/_buenos)
 0.09784      568 tfidf(attention_.)
 0.09784      968 tfidf(for_example)
 0.09784      116 tfidf(_comma__g_()
 0.09784     1217 tfidf(manila_olm)
 0.09784      518 tfidf(allow_the)
 0.09784     1341 tfidf(ol)
 0.09784       31 tfidf((_32_))
 0.09784     1170 tfidf(kramnik__comma_)
 0.09784      382 tfidf(57)
 0.09784       85 tfidf(_comma__after_which)
 0.09784     1364 tfidf(open__comma_)
 0.09784     1000 tfidf(garcia)
 0.09784       30 tfidf((_32)
 0.09784      388 tfidf(61_))
 0.09784      372 tfidf(46_))
 0.09784       55 tfidf((_46_))
 0.09784       54 tfidf((_46)
 0.09784       38 tfidf((_37)
 0.09784     1495 tfidf(rare)
 0.09784      541 tfidf(and_ha)
 0.09784       62 tfidf((_59)
 0.09784       39 tfidf((_37_))
 0.09784       63 tfidf((_59_))
 0.09784      597 tfidf(be_clearly_better)
 0.09784       23 tfidf((_27_))
 0.09784      673 tfidf(black_be_a)
 0.09784     1088 tfidf(idea_to)
 0.09784      310 tfidf(2002_()
 0.09784      985 tfidf(g_()
 0.09784     1086 tfidf(idea_be)
 0.09784      710 tfidf(blunder_.)
 0.09784     1623 tfidf(tactic)
 0.09784      285 tfidf(1994_()
 0.09784       22 tfidf((_27)
 0.09784     1073 tfidf(how)
 0.09784      331 tfidf(24)
 0.09784      666 tfidf(bishop_on)
 0.09784      112 tfidf(_comma__f)
 0.09784      113 tfidf(_comma__for)
 0.09784      343 tfidf(30_))
 0.09784     1302 tfidf(not_the)
 0.09784      336 tfidf(27_))
 0.09623     1022 tfidf(h_/)
 0.09623      695 tfidf(black_wa)
 0.09623     1091 tfidf(illescas)
 0.09623      452 tfidf(a_healthy)
 0.09623      530 tfidf(an_extra)
 0.09623     1289 tfidf(new_delhi)
 0.09623      534 tfidf(anand__comma_)
 0.09623     1622 tfidf(t_/)
 0.09623      330 tfidf(2010_/)
 0.09623      322 tfidf(2007_()
 0.09623     1282 tfidf(natural_move)
 0.09623      767 tfidf(change_the)
 0.09623     1663 tfidf(the_best_move)
 0.09623      977 tfidf(francisco)
 0.09623     1562 tfidf(short__comma_)
 0.09623      369 tfidf(44_))
 0.09623     1533 tfidf(sacrifice__comma_)
