=== Run information ===

Evaluator:    weka.attributeSelection.GainRatioAttributeEval 
Search:       weka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1
Relation:     comment-total
Instances:    4000
Attributes:   2002
              [list of attributes omitted]
Evaluation mode:    evaluate on all training data



=== Attribute Selection on all input data ===

Search Method:
	Attribute ranking.

Attribute Evaluator (supervised, Class (nominal): 2002 class):
	Gain Ratio feature evaluator

Ranked attributes:
 0.14348     1754 count(the_week_in)
 0.14348     1753 count(the_week)
 0.14348     1899 count(week)
 0.14348     1900 count(week_in)
 0.14348     1901 count(week_in_chess)
 0.14348     1103 count(in_chess)
 0.14348      245 count(/_the_week)
 0.14107      203 count(/)
 0.13853      930 count(ext)
 0.13752      256 count(1/2)
 0.13017      244 count(/_the)
 0.13012      309 count(2002)
 0.13012     1259 count(move__comma_)
 0.12853       69 count()_-)
 0.12692       71 count()_/)
 0.12619      257 count(1/2_-)
 0.12438      173 count(-_1/2)
 0.12438      258 count(1/2_-_1/2)
 0.12349      226 count(/_ext)
 0.12225       15 count(()
 0.12165      146 count(_comma__r)
 0.12126       66 count())
 0.12036      311 count(2002_/)
 0.12036     1630 count(td)
 0.11692      242 count(/_td)
 0.11619      287 count(1995)
 0.11544      135 count(_comma__l_/)
 0.11544      931 count(ext_()
 0.11544     1173 count(l_/)
 0.11323     1209 count(m_/)
 0.11224       73 count()_/_moscow)
 0.11224      312 count(2002_/_the)
 0.11214      128 count(_comma__j)
 0.11214     1144 count(j)
 0.11138     1527 count(ru)
 0.11138      293 count(1997_/)
 0.1105      1631 count(td_()
 0.1105      1247 count(monte)
 0.1105      1248 count(monte_carlo)
 0.1105       751 count(carlo)
 0.1105       230 count(/_monte)
 0.1105       231 count(/_monte_carlo)
 0.1105       243 count(/_td_()
 0.1105       321 count(2007)
 0.1103      1146 count(j_/)
 0.1103       130 count(_comma__j_/)
 0.10958     1492 count(r_/)
 0.10958     1281 count(natural)
 0.10958      148 count(_comma__r_/)
 0.10958       84 count(_comma__after)
 0.10795      138 count(_comma__m_/)
 0.10765      823 count(d_/)
 0.10765     1216 count(manila)
 0.10765      288 count(1995_/)
 0.10708     1207 count(m)
 0.10663       49 count((_42_))
 0.10663      327 count(2009)
 0.10663       48 count((_42)
 0.10663      108 count(_comma__d_/)
 0.10663      308 count(2001_/_the)
 0.10663      365 count(42_))
 0.10556      290 count(1996_/)
 0.10556      276 count(1990_/)
 0.10556     1491 count(r_()
 0.10556      349 count(33_))
 0.10556     1291 count(new_york_op)
 0.10556       32 count((_33)
 0.10556     1994 count(york_op)
 0.10556       33 count((_33_))
 0.10498      253 count(1-0)
 0.1046       291 count(1997)
 0.10445      295 count(1998_()
 0.10445      229 count(/_manila)
 0.10445      354 count(37)
 0.10445      147 count(_comma__r_()
 0.10397     1254 count(moscow)
 0.10327     1593 count(square_for)
 0.10327      933 count(extra_()
 0.10327       90 count(_comma__b_()
 0.10327      572 count(b_()
 0.10327      228 count(/_la)
 0.10327      507 count(after_which)
 0.10327      328 count(2009_/)
 0.10327      305 count(2000_/_the)
 0.10204      269 count(1984)
 0.10204     1307 count(novelty_.)
