=== Run information ===

Evaluator:    weka.attributeSelection.GainRatioAttributeEval 
Search:       weka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1
Relation:     comment-total
Instances:    4000
Attributes:   1633
              [list of attributes omitted]
Evaluation mode:    evaluate on all training data



=== Attribute Selection on all input data ===

Search Method:
	Attribute ranking.

Attribute Evaluator (supervised, Class (nominal): 1633 class):
	Gain Ratio feature evaluator

Ranked attributes:
 0.12349     1493 tfidf(view)
 0.12289     1494 tfidf(view_of)
 0.12227      783 tfidf(in_view)
 0.12227      784 tfidf(in_view_of)
 0.10958      203 tfidf(and_black_apostrophe_s)
 0.10765       20 tfidf(_comma__for)
 0.10765       21 tfidf(_comma__for_example)
 0.10663     1156 tfidf(refute)
 0.10556      226 tfidf(answer)
 0.10445     1068 tfidf(perpetual_check)
 0.10445     1399 tfidf(this_be_a)
 0.10445      535 tfidf(decision)
 0.10445     1048 tfidf(p_structure)
 0.10327      897 tfidf(meet_by)
 0.10327      681 tfidf(force)
 0.10327     1601 tfidf(with_an)
 0.10327      132 tfidf(a_well)
 0.10327      382 tfidf(black_cannot)
 0.10204     1069 tfidf(perpetual_check_.)
 0.10204     1160 tfidf(repetition)
 0.10204       55 tfidf(1992)
 0.10204      507 tfidf(correct)
 0.10204     1495 tfidf(view_of_:)
 0.10204     1114 tfidf(pressure_on)
 0.10204      991 tfidf(of_:)
 0.10204     1157 tfidf(refute_by)
 0.10204      551 tfidf(deserve_attention)
 0.10171     1528 tfidf(well)
 0.10073      325 tfidf(be_refute)
 0.10073       54 tfidf(1991)
 0.10073     1039 tfidf(otherwise)
 0.10073      809 tfidf(j)
 0.10073       23 tfidf(_comma__j)
 0.10073      284 tfidf(be_equal)
 0.09934     1529 tfidf(well_.)
 0.09934      954 tfidf(new_york)
 0.09934      204 tfidf(and_draw)
 0.09934     1628 tfidf(york)
 0.09934     1115 tfidf(pressure_on_the)
 0.09934      311 tfidf(be_only)
 0.09934     1259 tfidf(stronger)
 0.09934     1343 tfidf(the_main)
 0.09934     1117 tfidf(prevent)
 0.09934     1591 tfidf(win_position_.)
 0.09934      133 tfidf(a_well_.)
 0.09934      326 tfidf(be_refute_by)
 0.09934     1162 tfidf(repetition_of_move)
 0.09934     1161 tfidf(repetition_of)
 0.09934     1590 tfidf(win_position)
 0.09934       13 tfidf(_comma__a_/)
 0.09934      631 tfidf(extra_pawn)
 0.09934       96 tfidf(a_/)
 0.09934       51 tfidf(/_new)
 0.09934      872 tfidf(m)
 0.09934     1091 tfidf(point_of)
 0.09784     1220 tfidf(slightly)
 0.09784     1130 tfidf(prospect)
 0.09784      786 tfidf(inaccuracy)
 0.09784      973 tfidf(novelty)
 0.09784      879 tfidf(manila)
 0.09784     1016 tfidf(only)
 0.09784      415 tfidf(blunder_in)
 0.09784     1166 tfidf(rest_be)
 0.09784       89 tfidf(_)
 0.09784     1003 tfidf(olm)
 0.09784       99 tfidf(a_blunder)
 0.09784      144 tfidf(active)
 0.09784     1606 tfidf(with_good)
 0.09784       39 tfidf(._after)
 0.09784      298 tfidf(be_meet)
 0.09784      285 tfidf(be_equal_.)
