=== Run information ===

Evaluator:    weka.attributeSelection.GainRatioAttributeEval 
Search:       weka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1
Relation:     comment-position-1
Instances:    2000
Attributes:   1633
              [list of attributes omitted]
Evaluation mode:    evaluate on all training data



=== Attribute Selection on all input data ===

Search Method:
	Attribute ranking.

Attribute Evaluator (supervised, Class (nominal): 1633 class):
	Gain Ratio feature evaluator

Ranked attributes:
 0           470 tfidf(clearly_better)
 0           469 tfidf(clearly)
 0           468 tfidf(clear_advantage)
 0           463 tfidf(chanses)
 0           466 tfidf(choice)
 0           467 tfidf(clear)
 0           449 tfidf(carlo)
 0           447 tfidf(cannot_be)
 0           528 tfidf(de)
 0           434 tfidf(c)
 0           429 tfidf(by)
 0           430 tfidf(by_:)
 0           431 tfidf(by_force)
 0           428 tfidf(but_the)
 0           427 tfidf(but_still)
 0           426 tfidf(but)
 0           423 tfidf(breakthrough)
 0           424 tfidf(brilliant)
 0           425 tfidf(bring)
 0           433 tfidf(by_the)
 0           435 tfidf(c-pawn)
 0           446 tfidf(cannot)
 0           436 tfidf(c4)
 0           443 tfidf(can)
 0           444 tfidf(can_be)
 0           445 tfidf(can_apostrophe_t)
 0           442 tfidf(camp_.)
 0           441 tfidf(camp)
 0           440 tfidf(calculation_.)
 0           437 tfidf(c5)
 0           438 tfidf(cal)
 0           439 tfidf(calculation)
 0           474 tfidf(combination)
 0           475 tfidf(come)
 0           476 tfidf(come_first)
 0           516 tfidf(csl)
 0           586 tfidf(e5)
 0           513 tfidf(create)
 0           514 tfidf(critical)
 0           511 tfidf(course)
 0           510 tfidf(counterplay_.)
 0           509 tfidf(counterplay)
 0           506 tfidf(control_over_the)
 0           507 tfidf(correct)
 0           508 tfidf(could)
 0           515 tfidf(crush)
 0           517 tfidf(cup)
 0           477 tfidf(come_first_.)
 0           518 tfidf(d)
 0           525 tfidf(dark)
 0           526 tfidf(dark_square)
 0           527 tfidf(dark_square_.)
 0           524 tfidf(dangerous_.)
 0           523 tfidf(dangerous)
 0           522 tfidf(danger_.)
 0           519 tfidf(d4)
 0           520 tfidf(d6)
 0           521 tfidf(danger)
 0           505 tfidf(control_over)
 0           504 tfidf(control)
 0           503 tfidf(continue_the)
 0           502 tfidf(continue_.)
 0           484 tfidf(compensation_for_the)
 0           485 tfidf(completely)
 0           486 tfidf(completely_.)
 0           483 tfidf(compensation_for)
 0           482 tfidf(compensation)
 0           481 tfidf(comment)
 0           478 tfidf(come_into)
 0           479 tfidf(come_into_consideration)
 0           480 tfidf(comfortable)
 0           488 tfidf(complicate_game)
 0           491 tfidf(complication)
 0           492 tfidf(complication_.)
 0           500 tfidf(continuation_.)
 0           501 tfidf(continue)
 0           498 tfidf(consolidate_his)
 0           499 tfidf(continuation)
 0           497 tfidf(consolidate)
 0           493 tfidf(consider)
 0           494 tfidf(consideration)
 0           495 tfidf(consideration_.)
 0           496 tfidf(consistent)
 0           585 tfidf(e4)
 0          1632 tfidf(|__.)
 0           587 tfidf(e5_.)
 0           719 tfidf(good_and_simple)
 0           727 tfidf(ha_no)
 0           729 tfidf(ha_to)
 0           730 tfidf(ha_to_be)
 0           726 tfidf(ha_a_very)
 0           725 tfidf(ha_a)
 0           724 tfidf(ha)
