@RELATION comment
@ATTRIBUTE COUNT(threat) INTEGER
@ATTRIBUTE COUNT(like) INTEGER
@ATTRIBUTE COUNT(10) INTEGER
@ATTRIBUTE COUNT(29) INTEGER
@ATTRIBUTE COUNT(do) INTEGER
@ATTRIBUTE COUNT(back) INTEGER
@ATTRIBUTE COUNT(11) INTEGER
@ATTRIBUTE COUNT(pressure) INTEGER
@ATTRIBUTE COUNT(20) INTEGER
@ATTRIBUTE COUNT(e5) INTEGER
@ATTRIBUTE COUNT(than) INTEGER
@ATTRIBUTE COUNT(into) INTEGER
@ATTRIBUTE COUNT(queenside) INTEGER
@ATTRIBUTE COUNT(12) INTEGER
@ATTRIBUTE COUNT(mate) INTEGER
@ATTRIBUTE COUNT(see) INTEGER
@ATTRIBUTE COUNT(seems) INTEGER
@ATTRIBUTE COUNT(material) INTEGER
@ATTRIBUTE COUNT(any) INTEGER
@ATTRIBUTE COUNT(14) INTEGER
@ATTRIBUTE COUNT(draw) INTEGER
@ATTRIBUTE COUNT(30) INTEGER
@ATTRIBUTE COUNT(gives) INTEGER
@ATTRIBUTE COUNT(diagonal) INTEGER
@ATTRIBUTE COUNT(threatening) INTEGER
@ATTRIBUTE COUNT(defense) INTEGER
@ATTRIBUTE COUNT(d5) INTEGER
@ATTRIBUTE COUNT(cannot) INTEGER
@ATTRIBUTE COUNT(23) INTEGER
@ATTRIBUTE COUNT(initiative) INTEGER
@ATTRIBUTE COUNT(against) INTEGER
@ATTRIBUTE COUNT(21) INTEGER
@ATTRIBUTE COUNT(24) INTEGER
@ATTRIBUTE COUNT(other) INTEGER
@ATTRIBUTE COUNT(9.) INTEGER
@ATTRIBUTE COUNT(well) INTEGER
@ATTRIBUTE COUNT(line) INTEGER
@ATTRIBUTE COUNT(where) INTEGER
@ATTRIBUTE COUNT(another) INTEGER
@ATTRIBUTE COUNT(can_apostrophe_t) INTEGER
@ATTRIBUTE COUNT(weak) INTEGER
@ATTRIBUTE COUNT(plan) INTEGER
@ATTRIBUTE COUNT(think) INTEGER
@ATTRIBUTE COUNT(away) INTEGER
@ATTRIBUTE COUNT(32) INTEGER
@ATTRIBUTE COUNT(squares) INTEGER
@ATTRIBUTE COUNT(again) INTEGER
@ATTRIBUTE COUNT(opponent) INTEGER
@ATTRIBUTE COUNT(possible) INTEGER
@ATTRIBUTE COUNT(wins) INTEGER
@ATTRIBUTE COUNT(probably) INTEGER
@ATTRIBUTE COUNT(25) INTEGER
@ATTRIBUTE COUNT(bad) INTEGER
@ATTRIBUTE COUNT(27) INTEGER
@ATTRIBUTE COUNT(interesting) INTEGER
@ATTRIBUTE COUNT(31) INTEGER
@ATTRIBUTE COUNT(#) INTEGER
@ATTRIBUTE COUNT(fritz) INTEGER
@ATTRIBUTE COUNT(since) INTEGER
@ATTRIBUTE COUNT(allows) INTEGER
@ATTRIBUTE COUNT(mistake) INTEGER
@ATTRIBUTE COUNT(your) INTEGER
@ATTRIBUTE COUNT(down) INTEGER
@ATTRIBUTE COUNT(kasparov) INTEGER
@ATTRIBUTE COUNT(makes) INTEGER
@ATTRIBUTE COUNT(board) INTEGER
@ATTRIBUTE COUNT(completely) INTEGER
@ATTRIBUTE COUNT(playing) INTEGER
@ATTRIBUTE COUNT(without) INTEGER
@ATTRIBUTE COUNT(once) INTEGER
@ATTRIBUTE COUNT(how) INTEGER
@ATTRIBUTE COUNT(forced) INTEGER
@ATTRIBUTE COUNT(28) INTEGER
@ATTRIBUTE COUNT(looks) INTEGER
@ATTRIBUTE COUNT(chance) INTEGER
@ATTRIBUTE COUNT(over) INTEGER
@ATTRIBUTE COUNT(plays) INTEGER
@ATTRIBUTE COUNT(37) INTEGER
@ATTRIBUTE COUNT(same) INTEGER
@ATTRIBUTE COUNT(d4) INTEGER
@ATTRIBUTE COUNT(important) INTEGER
@ATTRIBUTE COUNT(off) INTEGER
@ATTRIBUTE COUNT(before) INTEGER
@ATTRIBUTE COUNT(last) INTEGER
@ATTRIBUTE COUNT(nothing) INTEGER
@ATTRIBUTE COUNT(going) INTEGER
@ATTRIBUTE COUNT(c4) INTEGER
@ATTRIBUTE COUNT(rank) INTEGER
@ATTRIBUTE COUNT(;) INTEGER
@ATTRIBUTE COUNT(instead) INTEGER
@ATTRIBUTE COUNT(8.) INTEGER
@ATTRIBUTE COUNT(attacking) INTEGER
@ATTRIBUTE COUNT(most) INTEGER
@ATTRIBUTE COUNT(threats) INTEGER
@ATTRIBUTE COUNT(didn_apostrophe_t) INTEGER
@ATTRIBUTE COUNT(thought) INTEGER
@ATTRIBUTE COUNT(him) INTEGER
@ATTRIBUTE COUNT(f5) INTEGER
@ATTRIBUTE COUNT(rooks) INTEGER
@ATTRIBUTE COUNT(trade) INTEGER
@ATTRIBUTE COUNT(7.) INTEGER
@ATTRIBUTE COUNT(side) INTEGER
@ATTRIBUTE COUNT(such) INTEGER
@ATTRIBUTE COUNT(we) INTEGER
@ATTRIBUTE COUNT(gets) INTEGER
@ATTRIBUTE COUNT(38) INTEGER
@ATTRIBUTE COUNT(clear) INTEGER
@ATTRIBUTE COUNT(capture) INTEGER
@ATTRIBUTE COUNT(control) INTEGER
@ATTRIBUTE COUNT(text) INTEGER
@ATTRIBUTE COUNT(look) INTEGER
@ATTRIBUTE COUNT(g5) INTEGER
@ATTRIBUTE COUNT(36) INTEGER
@ATTRIBUTE COUNT(simply) INTEGER
@ATTRIBUTE COUNT(threatens) INTEGER
@ATTRIBUTE COUNT(keep) INTEGER
@ATTRIBUTE COUNT(main) INTEGER
@ATTRIBUTE COUNT(end) INTEGER
@ATTRIBUTE COUNT(correct) INTEGER
@ATTRIBUTE COUNT(long) INTEGER
@ATTRIBUTE COUNT(taking) INTEGER
@ATTRIBUTE COUNT(right) INTEGER
@ATTRIBUTE COUNT(0-0) INTEGER
@ATTRIBUTE COUNT(blunder) INTEGER
@ATTRIBUTE COUNT(immediately) INTEGER
@ATTRIBUTE COUNT(d6) INTEGER
@ATTRIBUTE COUNT(active) INTEGER
@ATTRIBUTE COUNT(26) INTEGER
@ATTRIBUTE COUNT(structure) INTEGER
@ATTRIBUTE COUNT(although) INTEGER
@ATTRIBUTE COUNT(isn_apostrophe_t) INTEGER
@ATTRIBUTE COUNT(make) INTEGER
@ATTRIBUTE COUNT(something) INTEGER
@ATTRIBUTE COUNT(may) INTEGER
@ATTRIBUTE COUNT(forcing) INTEGER
@ATTRIBUTE COUNT(already) INTEGER
@ATTRIBUTE COUNT(course) INTEGER
@ATTRIBUTE COUNT(both) INTEGER
@ATTRIBUTE COUNT(why) INTEGER
@ATTRIBUTE COUNT(lines) INTEGER
@ATTRIBUTE COUNT(nice) INTEGER
@ATTRIBUTE COUNT(trying) INTEGER
@ATTRIBUTE COUNT(chess) INTEGER
@ATTRIBUTE COUNT(defend) INTEGER
@ATTRIBUTE COUNT(chances) INTEGER
@ATTRIBUTE COUNT(e6) INTEGER
@ATTRIBUTE COUNT(combination) INTEGER
@ATTRIBUTE COUNT(passed) INTEGER
@ATTRIBUTE COUNT(f6) INTEGER
@ATTRIBUTE COUNT(h5) INTEGER
@ATTRIBUTE COUNT(enough) INTEGER
@ATTRIBUTE COUNT(little) INTEGER
@ATTRIBUTE COUNT(f4) INTEGER
@ATTRIBUTE COUNT(bishops) INTEGER
@ATTRIBUTE COUNT(case) INTEGER
@ATTRIBUTE COUNT(c5) INTEGER
@ATTRIBUTE COUNT(fact) INTEGER
@ATTRIBUTE COUNT(loses) INTEGER
@ATTRIBUTE COUNT(less) INTEGER
@ATTRIBUTE COUNT(e4) INTEGER
@ATTRIBUTE COUNT(its) INTEGER
@ATTRIBUTE COUNT(a3) INTEGER
@ATTRIBUTE COUNT(33) INTEGER
@ATTRIBUTE COUNT(own) INTEGER
@ATTRIBUTE COUNT(considered) INTEGER
@ATTRIBUTE COUNT(followed) INTEGER
@ATTRIBUTE COUNT(counterplay) INTEGER
@ATTRIBUTE COUNT(powerful) INTEGER
@ATTRIBUTE COUNT(trouble) INTEGER
@ATTRIBUTE COUNT(far) INTEGER
@ATTRIBUTE COUNT(great) INTEGER
@ATTRIBUTE COUNT(40) INTEGER
@ATTRIBUTE COUNT(next) INTEGER
@ATTRIBUTE COUNT(becomes) INTEGER
@ATTRIBUTE COUNT(bit) INTEGER
@ATTRIBUTE COUNT(seen) INTEGER
@ATTRIBUTE COUNT(g4) INTEGER
@ATTRIBUTE COUNT(work) INTEGER
@ATTRIBUTE COUNT(opens) INTEGER
@ATTRIBUTE COUNT(second) INTEGER
@ATTRIBUTE COUNT(reason) INTEGER
@ATTRIBUTE COUNT(give) INTEGER
@ATTRIBUTE COUNT(excellent) INTEGER
@ATTRIBUTE COUNT(sure) INTEGER
@ATTRIBUTE COUNT(nf6) INTEGER
@ATTRIBUTE COUNT(b6) INTEGER
@ATTRIBUTE COUNT(tempo) INTEGER
@ATTRIBUTE COUNT(find) INTEGER
@ATTRIBUTE COUNT(35) INTEGER
@ATTRIBUTE COUNT(39) INTEGER
@ATTRIBUTE COUNT(g6) INTEGER
@ATTRIBUTE COUNT(check) INTEGER
@ATTRIBUTE COUNT(deep) INTEGER
@ATTRIBUTE COUNT(dark) INTEGER
@ATTRIBUTE COUNT(quite) INTEGER
@ATTRIBUTE COUNT(keeps) INTEGER
@ATTRIBUTE COUNT(force) INTEGER
@ATTRIBUTE COUNT(variation) INTEGER
@ATTRIBUTE COUNT(few) INTEGER
@ATTRIBUTE COUNT(these) INTEGER
@ATTRIBUTE COUNT(positional) INTEGER
@ATTRIBUTE COUNT(try) INTEGER
@ATTRIBUTE COUNT(use) INTEGER
@ATTRIBUTE COUNT(made) INTEGER
@ATTRIBUTE COUNT(under) INTEGER
@ATTRIBUTE COUNT(perhaps) INTEGER
@ATTRIBUTE COUNT(really) INTEGER
@ATTRIBUTE COUNT(many) INTEGER
@ATTRIBUTE COUNT(able) INTEGER
@ATTRIBUTE COUNT(being) INTEGER
@ATTRIBUTE COUNT(prevent) INTEGER
@ATTRIBUTE COUNT(b4) INTEGER
@ATTRIBUTE COUNT(queen-side) INTEGER
@ATTRIBUTE COUNT(takes) INTEGER
@ATTRIBUTE COUNT(hard) INTEGER
@ATTRIBUTE COUNT(lead) INTEGER
@ATTRIBUTE COUNT(wrong) INTEGER
@ATTRIBUTE COUNT(giving) INTEGER
@ATTRIBUTE COUNT(stronger) INTEGER
@ATTRIBUTE COUNT(though) INTEGER
@ATTRIBUTE COUNT(order) INTEGER
@ATTRIBUTE COUNT(new) INTEGER
@ATTRIBUTE COUNT(lose) INTEGER
@ATTRIBUTE COUNT(keeping) INTEGER
@ATTRIBUTE COUNT(did) INTEGER
@ATTRIBUTE COUNT(lost) INTEGER
@ATTRIBUTE COUNT(go) INTEGER
@ATTRIBUTE COUNT(example) INTEGER
@ATTRIBUTE COUNT(king-side) INTEGER
@ATTRIBUTE COUNT(weakening) INTEGER
@ATTRIBUTE COUNT(moment) INTEGER
@ATTRIBUTE COUNT(problem) INTEGER
@ATTRIBUTE COUNT(due) INTEGER
@ATTRIBUTE COUNT(5.) INTEGER
@ATTRIBUTE COUNT(seem) INTEGER
@ATTRIBUTE COUNT(fight) INTEGER
@ATTRIBUTE COUNT(there_apostrophe_s) INTEGER
@ATTRIBUTE COUNT(nd5) INTEGER
@ATTRIBUTE COUNT(a5) INTEGER
@ATTRIBUTE COUNT(qc7) INTEGER
@ATTRIBUTE COUNT(defensive) INTEGER
@ATTRIBUTE COUNT(don_apostrophe_t) INTEGER
@ATTRIBUTE COUNT(saw) INTEGER
@ATTRIBUTE COUNT(losing) INTEGER
@ATTRIBUTE COUNT(kg8) INTEGER
@ATTRIBUTE COUNT(easy) INTEGER
@ATTRIBUTE COUNT(tactical) INTEGER
@ATTRIBUTE COUNT(queens) INTEGER
@ATTRIBUTE COUNT(wants) INTEGER
@ATTRIBUTE COUNT(advance) INTEGER
@ATTRIBUTE COUNT(dangerous) INTEGER
@ATTRIBUTE COUNT(choice) INTEGER
@ATTRIBUTE COUNT(instance) INTEGER
@ATTRIBUTE COUNT(natural) INTEGER
@ATTRIBUTE COUNT(push) INTEGER
@ATTRIBUTE COUNT(either) INTEGER
@ATTRIBUTE COUNT(6.) INTEGER
@ATTRIBUTE COUNT(decision) INTEGER
@ATTRIBUTE COUNT(castle) INTEGER
@ATTRIBUTE COUNT(should_apostrophe_ve) INTEGER
@ATTRIBUTE COUNT(i_apostrophe_m) INTEGER
@ATTRIBUTE COUNT(know) INTEGER
@ATTRIBUTE COUNT(yet) INTEGER
@ATTRIBUTE COUNT(easier) INTEGER
@ATTRIBUTE COUNT(41) INTEGER
@ATTRIBUTE COUNT(alternative) INTEGER
@ATTRIBUTE COUNT(forces) INTEGER
@ATTRIBUTE COUNT(found) INTEGER
@ATTRIBUTE COUNT(difficult) INTEGER
@ATTRIBUTE COUNT(centre) INTEGER
@ATTRIBUTE COUNT(knights) INTEGER
@ATTRIBUTE COUNT(nf3) INTEGER
@ATTRIBUTE COUNT(endgame) INTEGER
@ATTRIBUTE COUNT(appears) INTEGER
@ATTRIBUTE COUNT(almost) INTEGER
@ATTRIBUTE COUNT(through) INTEGER
@ATTRIBUTE COUNT(continuation) INTEGER
@ATTRIBUTE COUNT(g3) INTEGER
@ATTRIBUTE COUNT(nc6) INTEGER
@ATTRIBUTE COUNT(obvious) INTEGER
@ATTRIBUTE COUNT(!?) INTEGER
@ATTRIBUTE COUNT(come) INTEGER
@ATTRIBUTE COUNT(intending) INTEGER
@ATTRIBUTE COUNT(error) INTEGER
@ATTRIBUTE COUNT(prevents) INTEGER
@ATTRIBUTE COUNT(re8) INTEGER
@ATTRIBUTE COUNT(break) INTEGER
@ATTRIBUTE COUNT(thus) INTEGER
@ATTRIBUTE COUNT(around) INTEGER
@ATTRIBUTE COUNT(goes) INTEGER
@ATTRIBUTE COUNT(rb1) INTEGER
@ATTRIBUTE COUNT(lot) INTEGER
@ATTRIBUTE COUNT(suddenly) INTEGER
@ATTRIBUTE COUNT(hand) INTEGER
@ATTRIBUTE COUNT(placed) INTEGER
@ATTRIBUTE COUNT(h4) INTEGER
@ATTRIBUTE COUNT(weakness) INTEGER
@ATTRIBUTE COUNT(file) INTEGER
@ATTRIBUTE COUNT(checkmate) INTEGER
@ATTRIBUTE COUNT(c6) INTEGER
@ATTRIBUTE COUNT(qe7) INTEGER
@ATTRIBUTE COUNT(therefore) INTEGER
@ATTRIBUTE COUNT(thinking) INTEGER
@ATTRIBUTE COUNT(fine) INTEGER
@ATTRIBUTE COUNT(immediate) INTEGER
@ATTRIBUTE COUNT(want) INTEGER
@ATTRIBUTE COUNT(create) INTEGER
@ATTRIBUTE COUNT(rather) INTEGER
@ATTRIBUTE COUNT(missed) INTEGER
@ATTRIBUTE COUNT(e7) INTEGER
@ATTRIBUTE COUNT(during) INTEGER
@ATTRIBUTE COUNT(opportunity) INTEGER
@ATTRIBUTE COUNT(quickly) INTEGER
@ATTRIBUTE COUNT(least) INTEGER
@ATTRIBUTE COUNT(leads) INTEGER
@ATTRIBUTE COUNT(....) INTEGER
@ATTRIBUTE COUNT(bxf6) INTEGER
@ATTRIBUTE COUNT(compensation) INTEGER
@ATTRIBUTE COUNT(computer) INTEGER
@ATTRIBUTE COUNT(who) INTEGER
@ATTRIBUTE COUNT(finally) INTEGER
@ATTRIBUTE COUNT(activity) INTEGER
@ATTRIBUTE COUNT(leaves) INTEGER
@ATTRIBUTE COUNT(later) INTEGER
@ATTRIBUTE COUNT(further) INTEGER
@ATTRIBUTE COUNT(always) INTEGER
@ATTRIBUTE COUNT(sacrifices) INTEGER
@ATTRIBUTE COUNT(analysis) INTEGER
@ATTRIBUTE COUNT(moving) INTEGER
@ATTRIBUTE COUNT(free) INTEGER
@ATTRIBUTE COUNT(4.) INTEGER
@ATTRIBUTE COUNT(qe2) INTEGER
@ATTRIBUTE COUNT(real) INTEGER
@ATTRIBUTE COUNT(etc) INTEGER
@ATTRIBUTE COUNT(tim) INTEGER
@ATTRIBUTE COUNT(central) INTEGER
@ATTRIBUTE COUNT(everything) INTEGER
@ATTRIBUTE COUNT(h6) INTEGER
@ATTRIBUTE COUNT(a4) INTEGER
@ATTRIBUTE COUNT(f3) INTEGER
@ATTRIBUTE COUNT(be7) INTEGER
@ATTRIBUTE COUNT(decisive) INTEGER
@ATTRIBUTE COUNT(qh4) INTEGER
@ATTRIBUTE COUNT(34) INTEGER
@ATTRIBUTE COUNT(variations) INTEGER
@ATTRIBUTE COUNT(continue) INTEGER
@ATTRIBUTE COUNT(passive) INTEGER
@ATTRIBUTE COUNT(following) INTEGER
@ATTRIBUTE COUNT(never) INTEGER
@ATTRIBUTE COUNT(key) INTEGER
@ATTRIBUTE COUNT(--) INTEGER
@ATTRIBUTE COUNT(final) INTEGER
@ATTRIBUTE COUNT(d-file) INTEGER
@ATTRIBUTE COUNT(defender) INTEGER
@ATTRIBUTE COUNT(looking) INTEGER
@ATTRIBUTE COUNT(fritz7) INTEGER
@ATTRIBUTE COUNT(serious) INTEGER
@ATTRIBUTE COUNT(done) INTEGER
@ATTRIBUTE COUNT(!!) INTEGER
@ATTRIBUTE COUNT(anything) INTEGER
@ATTRIBUTE COUNT(got) INTEGER
@ATTRIBUTE COUNT(/) INTEGER
@ATTRIBUTE COUNT(were) INTEGER
@ATTRIBUTE COUNT(simple) INTEGER
@ATTRIBUTE COUNT(easily) INTEGER
@ATTRIBUTE COUNT(c3) INTEGER
@ATTRIBUTE COUNT(help) INTEGER
@ATTRIBUTE COUNT(e-pawn) INTEGER
@ATTRIBUTE COUNT(things) INTEGER
@ATTRIBUTE COUNT(making) INTEGER
@ATTRIBUTE COUNT(rc1) INTEGER
@ATTRIBUTE COUNT(develop) INTEGER
@ATTRIBUTE COUNT(allowing) INTEGER
@ATTRIBUTE COUNT(need) INTEGER
@ATTRIBUTE COUNT(he_apostrophe_s) INTEGER
@ATTRIBUTE COUNT(safe) INTEGER
@ATTRIBUTE COUNT(hope) INTEGER
@ATTRIBUTE COUNT(allow) INTEGER
@ATTRIBUTE COUNT(them) INTEGER
@ATTRIBUTE COUNT(f7) INTEGER
@ATTRIBUTE COUNT(action) INTEGER
@ATTRIBUTE COUNT(weaknesses) INTEGER
@ATTRIBUTE COUNT(leave) INTEGER
@ATTRIBUTE COUNT(taken) INTEGER
@ATTRIBUTE COUNT(rid) INTEGER
@ATTRIBUTE COUNT(useful) INTEGER
@ATTRIBUTE COUNT(cxd5) INTEGER
@ATTRIBUTE COUNT(ne7) INTEGER
@ATTRIBUTE COUNT(rd1) INTEGER
@ATTRIBUTE COUNT(ending) INTEGER
@ATTRIBUTE COUNT(clearly) INTEGER
@ATTRIBUTE COUNT(mig) INTEGER
@ATTRIBUTE COUNT(soon) INTEGER
@ATTRIBUTE COUNT(their) INTEGER
@ATTRIBUTE COUNT(avoid) INTEGER
@ATTRIBUTE COUNT(say) INTEGER
@ATTRIBUTE COUNT(whether) INTEGER
@ATTRIBUTE COUNT(obviously) INTEGER
@ATTRIBUTE COUNT(nc3) INTEGER
@ATTRIBUTE COUNT(reply) INTEGER
@ATTRIBUTE COUNT(actually) INTEGER
@ATTRIBUTE COUNT(sense) INTEGER
@ATTRIBUTE COUNT(every) INTEGER
@ATTRIBUTE COUNT(games) INTEGER
@ATTRIBUTE COUNT(blue) INTEGER
@ATTRIBUTE COUNT(ideas) INTEGER
@ATTRIBUTE COUNT(theory) INTEGER
@ATTRIBUTE COUNT(superior) INTEGER
@ATTRIBUTE COUNT(qd6) INTEGER
@ATTRIBUTE COUNT(pretty) INTEGER
@ATTRIBUTE COUNT(re1) INTEGER
@ATTRIBUTE COUNT(surprise) INTEGER
@ATTRIBUTE COUNT(bb7) INTEGER
@ATTRIBUTE COUNT(qb6) INTEGER
@ATTRIBUTE COUNT(extremely) INTEGER
@ATTRIBUTE COUNT(put) INTEGER
@ATTRIBUTE COUNT(understand) INTEGER
@ATTRIBUTE COUNT(clearance) INTEGER
@ATTRIBUTE COUNT(having) INTEGER
@ATTRIBUTE COUNT(exchanging) INTEGER
@ATTRIBUTE COUNT(pinned) INTEGER
@ATTRIBUTE COUNT(h3) INTEGER
@ATTRIBUTE COUNT(could_apostrophe_ve) INTEGER
@ATTRIBUTE COUNT(else) INTEGER
@ATTRIBUTE COUNT(let) INTEGER
@ATTRIBUTE COUNT(possibly) INTEGER
@ATTRIBUTE COUNT(extra) INTEGER
@ATTRIBUTE COUNT(preparing) INTEGER
@ATTRIBUTE COUNT(via) INTEGER
@ATTRIBUTE COUNT(earlier) INTEGER
@ATTRIBUTE COUNT(a6) INTEGER
@ATTRIBUTE COUNT(??) INTEGER
@ATTRIBUTE COUNT(46) INTEGER
@ATTRIBUTE COUNT(they) INTEGER
@ATTRIBUTE COUNT(hold) INTEGER
@ATTRIBUTE COUNT(b3) INTEGER
@ATTRIBUTE COUNT(coming) INTEGER
@ATTRIBUTE COUNT(apparently) INTEGER
@ATTRIBUTE COUNT(big) INTEGER
@ATTRIBUTE COUNT(strike) INTEGER
@ATTRIBUTE COUNT(kf8) INTEGER
@ATTRIBUTE COUNT(seemed) INTEGER
@ATTRIBUTE COUNT(decided) INTEGER
@ATTRIBUTE COUNT(true) INTEGER
@ATTRIBUTE COUNT(capturing) INTEGER
@ATTRIBUTE COUNT(slightly) INTEGER
@ATTRIBUTE COUNT(am) INTEGER
@ATTRIBUTE COUNT(turns) INTEGER
@ATTRIBUTE COUNT(finish) INTEGER
