=== Run information ===

Evaluator:    weka.attributeSelection.GainRatioAttributeEval 
Search:       weka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1
Relation:     comment-move-1
Instances:    2000
Attributes:   1633
              [list of attributes omitted]
Evaluation mode:    evaluate on all training data



=== Attribute Selection on all input data ===

Search Method:
	Attribute ranking.

Attribute Evaluator (supervised, Class (nominal): 1633 class):
	Gain Ratio feature evaluator

Ranked attributes:
 0.0622       387 tfidf(black_ha)
 0.0608       671 tfidf(for_example)
 0.0608       623 tfidf(example)
 0.0592       196 tfidf(and)
 0.0571      1400 tfidf(this_be_the)
 0.05622       20 tfidf(_comma__for)
 0.05622       21 tfidf(_comma__for_example)
 0.05622      544 tfidf(defence)
 0.05454      921 tfidf(most)
 0.05276     1594 tfidf(with_a)
 0.04777      675 tfidf(for_the)
 0.0409       724 tfidf(ha)
 0.03289     1593 tfidf(with)
 0.03248      911 tfidf(more)
 0.03111     1573 tfidf(win)
 0.03024      155 tfidf(after)
 0.02794      429 tfidf(by)
 0.02551      959 tfidf(not)
 0.02232      769 tfidf(in)
 0.0222       990 tfidf(of)
 0.02013     1396 tfidf(this)
 0.01084     1291 tfidf(the)
 0.00668        1 number_of_tokens
 0            513 tfidf(create)
 0            539 tfidf(decisive_advantage_.)
 0            460 tfidf(chance_for)
 0            461 tfidf(chance_to)
 0            471 tfidf(clearly_better_.)
 0            462 tfidf(change)
 0            459 tfidf(chance_be)
 0            540 tfidf(decisive_advantage_for)
 0            541 tfidf(decisive_attack)
 0            458 tfidf(chance_.)
 0            455 tfidf(centre_.)
 0            456 tfidf(certainly)
 0            457 tfidf(chance)
 0            463 tfidf(chanses)
 0            464 tfidf(check)
 0            538 tfidf(decisive_advantage)
 0            467 tfidf(clear)
 0            468 tfidf(clear_advantage)
 0            469 tfidf(clearly)
 0            532 tfidf(decide_the)
 0            533 tfidf(decide_the_game)
 0            466 tfidf(choice)
 0            537 tfidf(decisive)
 0            534 tfidf(decide_to)
 0            536 tfidf(decision_.)
 0            535 tfidf(decision)
 0            465 tfidf(check_.)
 0            454 tfidf(centre)
 0            453 tfidf(center)
 0            452 tfidf(cbm)
 0            556 tfidf(develop)
 0            441 tfidf(camp)
 0            555 tfidf(destroy_black_apostrophe_s)
 0            442 tfidf(camp_.)
 0            440 tfidf(calculation_.)
 0            439 tfidf(calculation)
 0            443 tfidf(can)
 0            557 tfidf(development)
 0            558 tfidf(development_.)
 0            437 tfidf(c5)
 0            438 tfidf(cal)
 0            554 tfidf(destroy)
 0            444 tfidf(can_be)
 0            545 tfidf(defence_.)
 0            449 tfidf(carlo)
 0            451 tfidf(castle)
 0            547 tfidf(defense)
 0            546 tfidf(defend)
 0            450 tfidf(case)
 0            448 tfidf(capture)
 0            445 tfidf(can_apostrophe_t)
 0            548 tfidf(defense_.)
 0            446 tfidf(cannot)
 0            447 tfidf(cannot_be)
 0            549 tfidf(defensive)
 0            470 tfidf(clearly_better)
 0            472 tfidf(close)
 0            514 tfidf(critical)
 0            519 tfidf(d4)
 0            498 tfidf(consolidate_his)
 0            518 tfidf(d)
 0            473 tfidf(collapse)
 0            499 tfidf(continuation)
 0            497 tfidf(consolidate)
 0            520 tfidf(d6)
 0            496 tfidf(consistent)
 0            495 tfidf(consideration_.)
 0            521 tfidf(danger)
 0            493 tfidf(consider)
 0            494 tfidf(consideration)
 0            500 tfidf(continuation_.)
 0            501 tfidf(continue)
 0            502 tfidf(continue_.)
 0            515 tfidf(crush)
 0            510 tfidf(counterplay_.)
 0            511 tfidf(course)
 0            512 tfidf(cover)
 0            509 tfidf(counterplay)
 0            516 tfidf(csl)
 0            503 tfidf(continue_the)
 0            517 tfidf(cup)
 0            505 tfidf(control_over)
 0            507 tfidf(correct)
 0            508 tfidf(could)
 0            492 tfidf(complication_.)
 0            522 tfidf(danger_.)
 0            491 tfidf(complication)
 0            480 tfidf(comfortable)
 0            531 tfidf(decide)
 0            482 tfidf(compensation)
 0            483 tfidf(compensation_for)
 0            481 tfidf(comment)
 0            479 tfidf(come_into_consideration)
 0            484 tfidf(compensation_for_the)
 0            478 tfidf(come_into)
 0            474 tfidf(combination)
 0            476 tfidf(come_first)
 0            477 tfidf(come_first_.)
 0            530 tfidf(dead_draw)
 0            485 tfidf(completely)
 0            523 tfidf(dangerous)
 0            527 tfidf(dark_square_.)
 0            526 tfidf(dark_square)
 0            525 tfidf(dark)
 0            524 tfidf(dangerous_.)
 0            490 tfidf(complicate_position_.)
 0            489 tfidf(complicate_position)
 0            529 tfidf(dead)
 0            488 tfidf(complicate_game)
 0            486 tfidf(completely_.)
 0            487 tfidf(complicate)
 0            528 tfidf(de)
 0            506 tfidf(control_over_the)
 0            602 tfidf(end_be)
 0            559 tfidf(diagonal)
 0            699 tfidf(game_!)
 0            700 tfidf(game_.)
 0            697 tfidf(gain)
 0            698 tfidf(game)
 0            696 tfidf(g4)
 0            714 tfidf(go_for)
 0            693 tfidf(full)
 0            694 tfidf(future)
 0            695 tfidf(g)
 0            701 tfidf(game_be)
 0            702 tfidf(game_be_over)
 0            703 tfidf(game_with)
 0            710 tfidf(give_black)
 0            712 tfidf(give_white)
 0            704 tfidf(get)
 0            709 tfidf(give)
 0            708 tfidf(get_the)
 0            707 tfidf(get_some)
 0            706 tfidf(get_rid_of)
 0            705 tfidf(get_rid)
 0            692 tfidf(from_the)
 0            691 tfidf(from)
 0            690 tfidf(free)
 0            669 tfidf(for_black_.)
 0            670 tfidf(for_equality)
 0            674 tfidf(for_nothing_.)
 0            668 tfidf(for_black)
 0            667 tfidf(for_an)
 0            666 tfidf(for_a_win)
 0            665 tfidf(for_a)
 0            664 tfidf(for)
 0            673 tfidf(for_nothing)
 0            676 tfidf(for_the_exchange)
 0            685 tfidf(forget)
 0            683 tfidf(force_black)
 0            684 tfidf(force_black_to)
 0            677 tfidf(for_the_pawn)
 0            682 tfidf(force_a)
 0            681 tfidf(force)
 0            680 tfidf(for_white_.)
 0            679 tfidf(for_white)
 0            678 tfidf(for_this)
 0            713 tfidf(go)
 0            715 tfidf(go_for_the)
 0            662 tfidf(follow)
 0            750 tfidf(hold)
 0            751 tfidf(hold_the)
 0            748 tfidf(his_position)
 0            749 tfidf(his_position_.)
 0            746 tfidf(his)
 0            716 tfidf(good)
 0            743 tfidf(here)
 0            744 tfidf(here_.)
 0            745 tfidf(him)
 0            752 tfidf(hope)
 0            753 tfidf(hope_to)
 0            755 tfidf(huge)
 0            762 tfidf(idea_.)
 0            763 tfidf(idea_of)
 0            756 tfidf(huge_space)
 0            761 tfidf(idea)
 0            760 tfidf(i_wa)
 0            759 tfidf(i_have)
 0            758 tfidf(i)
 0            757 tfidf(huge_space_advantage)
 0            742 tfidf(helpless)
 0            740 tfidf(healthy)
 0            739 tfidf(he)
 0            722 tfidf(good_win)
 0            723 tfidf(great)
 0            726 tfidf(ha_a_very)
 0            721 tfidf(good_enough)
 0            720 tfidf(good_chance)
 0            719 tfidf(good_and_simple)
 0            718 tfidf(good_and)
 0            717 tfidf(good_.)
 0            725 tfidf(ha_a)
 0            727 tfidf(ha_no)
 0            738 tfidf(have_win)
 0            736 tfidf(have)
 0            737 tfidf(have_miss)
 0            728 tfidf(ha_nothing)
 0            735 tfidf(hardly)
 0            733 tfidf(hand_.)
 0            732 tfidf(hand)
 0            731 tfidf(ha_to_retreat)
 0            730 tfidf(ha_to_be)
 0            663 tfidf(follow_by)
 0            661 tfidf(flexible)
 0            560 tfidf(diagonal_.)
 0            592 tfidf(easily_win)
 0            593 tfidf(easy)
 0            590 tfidf(easily)
 0            591 tfidf(easily_.)
 0            589 tfidf(easier)
 0            606 tfidf(enough)
 0            586 tfidf(e5)
 0            587 tfidf(e5_.)
 0            588 tfidf(e6)
 0            594 tfidf(edge)
 0            595 tfidf(edge_.)
 0            596 tfidf(effective)
 0            603 tfidf(end_up)
 0            604 tfidf(endgame)
 0            597 tfidf(either)
 0            435 tfidf(c-pawn)
 0            601 tfidf(end_.)
 0            600 tfidf(end)
 0            599 tfidf(elegant)
 0            598 tfidf(either_.)
 0            585 tfidf(e4)
 0            584 tfidf(e.g.)
 0            583 tfidf(e-file)
 0            567 tfidf(doesn_apostrophe_t)
 0            569 tfidf(dominate)
 0            571 tfidf(don_apostrophe_t)
 0            565 tfidf(doe_not)
 0            564 tfidf(doe)
 0            563 tfidf(do)
 0            562 tfidf(difficult)
 0            561 tfidf(difference)
 0            570 tfidf(domination)
 0            572 tfidf(double)
 0            582 tfidf(e)
 0            580 tfidf(due)
 0            581 tfidf(due_to)
 0            573 tfidf(draw)
 0            578 tfidf(drawish)
 0            577 tfidf(draw_by_perpetual)
 0            576 tfidf(draw_by)
 0            575 tfidf(draw_be)
 0            574 tfidf(draw_.)
 0            605 tfidf(endgame_.)
 0            607 tfidf(equal)
 0            660 tfidf(flank)
 0            646 tfidf(fight)
 0            648 tfidf(fight_for)
 0            644 tfidf(far)
 0            645 tfidf(favourable)
 0            641 tfidf(fall_.)
 0            608 tfidf(equal_.)
 0            635 tfidf(f4)
 0            636 tfidf(f5)
 0            637 tfidf(face)
 0            649 tfidf(fight_for_the)
 0            650 tfidf(final)
 0            651 tfidf(finally)
 0            658 tfidf(first)
 0            659 tfidf(first_.)
 0            652 tfidf(find)
 0            657 tfidf(fire)
 0            656 tfidf(finish_the)
 0            655 tfidf(finish)
 0            654 tfidf(fine_.)
 0            653 tfidf(fine)
 0            634 tfidf(f)
 0            633 tfidf(extremely)
 0            632 tfidf(extra_pawn_.)
 0            614 tfidf(equalize)
 0            615 tfidf(equalize_.)
 0            619 tfidf(even)
 0            613 tfidf(equalization)
 0            612 tfidf(equality_.)
 0            611 tfidf(equality)
 0            610 tfidf(equal_chance_.)
 0            609 tfidf(equal_chance)
 0            617 tfidf(escape)
 0            620 tfidf(eventually)
 0            631 tfidf(extra_pawn)
 0            629 tfidf(extra)
 0            630 tfidf(extra_p.)
 0            621 tfidf(everything)
 0            628 tfidf(exploit)
 0            627 tfidf(exchange_.)
 0            626 tfidf(exchange)
 0            625 tfidf(excellent)
 0            622 tfidf(everything_be)
 0            436 tfidf(c4)
 0            385 tfidf(black_equalize)
 0            434 tfidf(c)
 0            137 tfidf(about)
 0            138 tfidf(about_equal)
 0            135 tfidf(a_win_.)
 0            136 tfidf(a-pawn)
 0            134 tfidf(a_win)
 0            140 tfidf(accurate)
 0            131 tfidf(a_very)
 0            132 tfidf(a_well)
 0            133 tfidf(a_well_.)
 0            139 tfidf(above)
 0            141 tfidf(achieve)
 0            127 tfidf(a_strong)
 0            150 tfidf(advantage_for)
 0            151 tfidf(advantage_for_white)
 0            148 tfidf(advantage_.)
 0            149 tfidf(advantage_be)
 0            147 tfidf(advantage)
 0            142 tfidf(activate)
 0            143 tfidf(activate_the)
 0            145 tfidf(activity)
 0            146 tfidf(advance)
 0            130 tfidf(a_typical)
 0            126 tfidf(a_slight)
 0            433 tfidf(by_the)
 0            108 tfidf(a_draw_.)
 0            109 tfidf(a_fight)
 0            106 tfidf(a_difficult)
 0            107 tfidf(a_draw)
 0            105 tfidf(a_decisive_advantage)
 0            111 tfidf(a_great)
 0            102 tfidf(a_dead)
 0            103 tfidf(a_dead_draw)
 0            104 tfidf(a_decisive)
 0            110 tfidf(a_good)
 0            112 tfidf(a_healthy)
 0            124 tfidf(a_possible)
 0            122 tfidf(a_piece)
 0            123 tfidf(a_piece_.)
 0            119 tfidf(a_pawn)
 0            121 tfidf(a_perpetual)
 0            118 tfidf(a_nice)
 0            113 tfidf(a_huge)
 0            114 tfidf(a_huge_space)
 0            115 tfidf(a_little)
 0            117 tfidf(a_nasty)
 0            152 tfidf(advantage_in)
 0            153 tfidf(advantage_in_the)
 0            154 tfidf(advantage_of)
 0            192 tfidf(an_extra)
 0            193 tfidf(an_important)
 0            190 tfidf(an_exchange)
 0            191 tfidf(an_exchange_.)
 0            189 tfidf(an_easy)
 0            199 tfidf(and_black_can)
 0            186 tfidf(an_advantage)
 0            187 tfidf(an_advantage_.)
 0            188 tfidf(an_attack)
 0            195 tfidf(an_interest_alternative)
 0            200 tfidf(and_black_cannot)
 0            156 tfidf(after_this)
 0            208 tfidf(and_now)
 0            209 tfidf(and_simple)
 0            206 tfidf(and_good)
 0            207 tfidf(and_good_.)
 0            205 tfidf(and_draw_by)
 0            201 tfidf(and_black_ha)
 0            202 tfidf(and_black_win)
 0            203 tfidf(and_black_apostrophe_s)
 0            204 tfidf(and_draw)
 0            185 tfidf(an)
 0            184 tfidf(ambitious)
 0            183 tfidf(although)
 0            163 tfidf(alive_.)
 0            164 tfidf(all)
 0            161 tfidf(aggressive)
 0            162 tfidf(alive)
 0            160 tfidf(against)
 0            182 tfidf(alternative_.)
 0            157 tfidf(after_this_move)
 0            158 tfidf(again)
 0            159 tfidf(again_.)
 0            165 tfidf(all_.)
 0            166 tfidf(all_the)
 0            168 tfidf(allow_black)
 0            179 tfidf(also_tempt)
 0            180 tfidf(also_win)
 0            172 tfidf(almost)
 0            178 tfidf(also_possible_.)
 0            177 tfidf(also_possible)
 0            176 tfidf(also_playable)
 0            175 tfidf(also)
 0            173 tfidf(already)
 0            101 tfidf(a_clear)
 0             98 tfidf(a_bite)
 0             97 tfidf(a_better)
 0             33 tfidf(_comma__white)
 0             34 tfidf(_comma__with)
 0             31 tfidf(_comma__the)
 0             32 tfidf(_comma__this)
 0             30 tfidf(_comma__s_/)
 0             36 tfidf(-_>)
 0             27 tfidf(_comma__r)
 0             28 tfidf(_comma__r_/)
 0             29 tfidf(_comma__s)
 0             35 tfidf(-)
 0             37 tfidf(-_>_.)
 0             50 tfidf(/_monte_carlo)
 0             47 tfidf(/_^_.)
 0             48 tfidf(/_manila)
 0             45 tfidf(/_\)
 0             46 tfidf(/_^)
 0             43 tfidf(...)
 0             38 tfidf(.)
 0             39 tfidf(._after)
 0             41 tfidf(._now)
 0             42 tfidf(..)
 0             26 tfidf(_comma__m_/)
 0             25 tfidf(_comma__m)
 0             24 tfidf(_comma__j_/)
 0              8 tfidf())
 0              9 tfidf(+)
 0              6 tfidf(_percent__csl)
 0              7 tfidf(()
 0              5 tfidf(_percent__cal)
 0             23 tfidf(_comma__j)
 0              2 tfidf(!)
 0              3 tfidf(_quote_)
 0              4 tfidf(_percent_)
 0             10 tfidf(+_])
 0             11 tfidf(_comma_)
 0             12 tfidf(_comma__a)
 0             19 tfidf(_comma__e.g.)
 0             22 tfidf(_comma__g)
