=== Run information ===

Evaluator:    weka.attributeSelection.GainRatioAttributeEval 
Search:       weka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1
Relation:     comment-move-1
Instances:    2000
Attributes:   1633
              [list of attributes omitted]
Evaluation mode:    evaluate on all training data



=== Attribute Selection on all input data ===

Search Method:
	Attribute ranking.

Attribute Evaluator (supervised, Class (nominal): 1633 class):
	Gain Ratio feature evaluator

Ranked attributes:
 0.07179     1026 count(open_up)
 0.07179      604 count(endgame)
 0.07172     1249 count(strange)
 0.07172      870 count(loss)
 0.07063      240 count(attention)
 0.07009      900 count(miss)
 0.06989      366 count(better_than)
 0.06989     1172 count(rid_of)
 0.06989     1367 count(the_queenside)
 0.06989     1171 count(rid)
 0.06989     1457 count(transpose)
 0.06989     1378 count(the_simplest)
 0.06989     1368 count(the_queenside_.)
 0.06989      390 count(black_ha_to)
 0.06989      588 count(e6)
 0.06989     1548 count(white_ha_a)
 0.06989      386 count(black_get)
 0.06989      355 count(best_.)
 0.06989     1183 count(safe)
 0.06989     1345 count(the_n)
 0.06989      649 count(fight_for_the)
 0.06989     1309 count(the_board_.)
 0.06989      706 count(get_rid_of)
 0.06989     1310 count(the_c-pawn)
 0.06989     1306 count(the_bishop_.)
 0.06989      696 count(g4)
 0.06989      710 count(give_black)
 0.06989     1257 count(strong_move)
 0.06989      705 count(get_rid)
 0.06989     1227 count(solution)
 0.06989     1196 count(serious_attention_.)
 0.06989      335 count(be_the_main)
 0.06989      339 count(be_the_typical)
 0.06989      667 count(for_an)
 0.06989     1216 count(simplest)
 0.06989      763 count(idea_of)
 0.06989      237 count(attack_the)
 0.06989      241 count(attention__comma_)
 0.06989     1404 count(this_move_.)
 0.06989     1458 count(transpose_to)
 0.06989     1027 count(open_up_the)
 0.06989      108 count(a_draw_.)
 0.06989      939 count(must)
 0.06989      435 count(c-pawn)
 0.06989     1040 count(otherwise_white)
 0.06989      974 count(novelty_.)
 0.06989      422 count(break)
 0.06989      451 count(castle)
 0.06989      418 count(board_.)
 0.06989      494 count(consideration)
 0.06978      807 count(it_wa)
 0.0677       799 count(intermediate_move_.)
 0.0677      1253 count(strong_.)
 0.0677       993 count(of_black_apostrophe_s)
 0.0677       220 count(and_white_ha)
 0.0677       795 count(interest_.)
 0.0677      1513 count(wa_worth)
 0.0677      1574 count(win_!)
 0.0677       219 count(and_white_be)
